,,C,K,sig
2022-09-16,21,128.2,490.0,0.4169
2022-09-16,22,141.05,500.0,0.4103
2022-09-16,23,113.1,520.0,0.4017
2022-09-16,24,130.0,540.0,0.3932
2022-09-16,25,134.02,550.0,0.3872
2022-09-16,26,127.64,560.0,0.38380000000000003
2022-09-16,27,122.5,570.0,0.382
2022-09-16,28,117.8,580.0,0.3761
2022-09-16,29,92.0,590.0,0.37420000000000003
2022-09-16,30,107.5,600.0,0.37310000000000004
2022-09-16,31,78.49,610.0,0.3703
2022-09-16,32,97.18,620.0,0.3715
2022-09-16,33,90.5,630.0,0.3643
2022-09-16,34,87.18,640.0,0.3615
2022-09-16,35,82.75,650.0,0.3594
2022-09-16,36,63.77,660.0,0.3578
2022-09-16,37,72.2,670.0,0.3565
2022-09-16,38,69.14,680.0,0.35479999999999995
2022-09-16,39,65.1,690.0,0.36
2022-09-16,40,62.0,700.0,0.35090000000000005
2022-09-16,41,59.1,710.0,0.3518
2022-09-16,42,53.0,720.0,0.3477
2022-09-16,43,32.8,730.0,0.3465
2022-09-16,44,50.55,740.0,0.35259999999999997
2022-09-16,45,46.45,750.0,0.3471
2022-09-16,46,30.3,760.0,0.3601
2022-09-16,47,27.9,770.0,0.3515
2022-09-16,48,38.6,780.0,0.3477
2022-09-16,49,21.25,790.0,0.3591
2022-09-16,50,35.0,800.0,0.3461
2022-09-16,51,23.5,820.0,0.3454
2022-09-16,52,27.0,840.0,0.34
2022-09-16,53,23.6,850.0,0.33990000000000004
2022-09-16,54,24.33,860.0,0.3421
2022-09-16,55,21.75,880.0,0.33880000000000005
2022-09-16,56,17.5,900.0,0.3403
2022-09-16,57,17.25,920.0,0.3527
2023-01-20,0,471.8,50.0,0.0
2023-01-20,1,425.6,100.0,0.0
2023-01-20,2,450.99,150.0,0.8956999999999999
2023-01-20,3,407.1,200.0,0.6075
2023-01-20,4,317.0,240.0,0.0
2023-01-20,5,331.72,250.0,0.0
2023-01-20,6,283.0,260.0,0.0
2023-01-20,7,329.03,270.0,0.5233
2023-01-20,8,249.45,280.0,0.0
2023-01-20,9,246.55,290.0,0.0
2023-01-20,10,350.0,300.0,0.5518
2023-01-20,11,276.3,310.0,0.0
2023-01-20,12,273.65,320.0,0.0
2023-01-20,13,297.95,330.0,0.517
2023-01-20,14,272.85,340.0,0.5069
2023-01-20,15,260.4,350.0,0.5008
2023-01-20,16,280.44,360.0,0.4903
2023-01-20,17,225.44,370.0,0.48350000000000004
2023-01-20,18,241.2,380.0,0.4763
2023-01-20,19,227.35,390.0,0.467
2023-01-20,20,260.0,400.0,0.4622
2023-01-20,21,243.71,410.0,0.45280000000000004
2023-01-20,22,211.35,420.0,0.449
2023-01-20,23,185.05,430.0,0.444
2023-01-20,24,220.76,440.0,0.4365
2023-01-20,25,199.77,450.0,0.4329
2023-01-20,26,190.0,455.0,0.4291
2023-01-20,27,206.16,460.0,0.42810000000000004
2023-01-20,28,201.84,465.0,0.4254
2023-01-20,29,198.54,470.0,0.4241
2023-01-20,30,153.42,475.0,0.42100000000000004
2023-01-20,31,197.07,480.0,0.4172
2023-01-20,32,172.5,485.0,0.4165
2023-01-20,33,191.5,490.0,0.4144
2023-01-20,34,153.62,495.0,0.41229999999999994
2023-01-20,35,190.0,500.0,0.4104
2023-01-20,36,145.0,505.0,0.408
2023-01-20,37,152.61,510.0,0.40630000000000005
2023-01-20,38,167.0,515.0,0.405
2023-01-20,39,168.8,520.0,0.402
2023-01-20,40,167.25,525.0,0.3997
2023-01-20,41,164.07,530.0,0.39630000000000004
2023-01-20,42,153.91,535.0,0.3953
2023-01-20,43,111.2,540.0,0.3931
2023-01-20,44,122.65,545.0,0.3319
2023-01-20,45,150.9,550.0,0.3868
2023-01-20,46,138.85,560.0,0.38799999999999996
2023-01-20,47,137.15,570.0,0.3837
2023-01-20,48,132.68,580.0,0.384
2023-01-20,49,123.6,590.0,0.3776
2023-01-20,50,120.3,600.0,0.3734
2023-01-20,51,122.0,610.0,0.3729
2023-01-20,52,111.22,620.0,0.37450000000000006
2023-01-20,53,105.88,630.0,0.3715
2023-01-20,54,99.05,640.0,0.36950000000000005
2023-01-20,55,98.52,650.0,0.37170000000000003
2023-01-20,56,94.71,660.0,0.3657
2023-01-20,57,87.19,680.0,0.3619
2023-01-20,58,75.75,700.0,0.3591
2023-01-20,59,70.39,720.0,0.3566
2023-01-20,60,65.67,740.0,0.35450000000000004
2023-01-20,61,62.21,750.0,0.3564
2023-01-20,62,58.17,760.0,0.35240000000000005
2023-01-20,63,53.12,780.0,0.3514
2023-01-20,64,48.3,800.0,0.34659999999999996
2023-01-20,65,44.39,820.0,0.3504
2023-01-20,66,36.07,840.0,0.3482
2023-01-20,67,37.38,850.0,0.3521
2023-01-20,68,27.94,860.0,0.3471
2023-01-20,69,34.25,880.0,0.34659999999999996
2023-01-20,70,30.4,900.0,0.3496
2023-01-20,71,23.17,950.0,0.3455
2023-01-20,72,20.0,1000.0,0.3479
2023-01-20,73,14.5,1050.0,0.3674
2023-03-17,0,461.45,50.0,0.0
2023-03-17,1,425.9,100.0,0.0
2023-03-17,2,343.51,150.0,0.0
2023-03-17,3,300.65,200.0,0.0
2023-03-17,4,395.82,250.0,0.5299
2023-03-17,5,260.94,260.0,0.0
2023-03-17,6,274.15,270.0,0.0
2023-03-17,7,336.0,280.0,0.5565
2023-03-17,8,362.69,290.0,0.0
2023-03-17,9,304.0,300.0,0.5366
2023-03-17,10,339.97,310.0,0.5218
2023-03-17,11,284.5,320.0,0.5118
2023-03-17,12,276.73,330.0,0.5017
2023-03-17,13,286.57,340.0,0.49560000000000004
2023-03-17,14,269.5,350.0,0.4851
2023-03-17,15,296.98,360.0,0.47840000000000005
2023-03-17,16,282.47,370.0,0.47119999999999995
2023-03-17,17,191.44,380.0,0.0
2023-03-17,18,242.45,390.0,0.4525
2023-03-17,19,204.51,400.0,0.4481
2023-03-17,20,189.0,410.0,0.2858
2023-03-17,21,166.9,420.0,0.0
2023-03-17,22,185.35,430.0,0.4301
2023-03-17,23,192.86,440.0,0.4269
2023-03-17,24,177.56,450.0,0.4194
2023-03-17,25,181.62,460.0,0.415
2023-03-17,26,208.28,470.0,0.4132
2023-03-17,27,170.0,480.0,0.40909999999999996
2023-03-17,28,166.0,490.0,0.4075
2023-03-17,29,154.93,500.0,0.3994
2023-03-17,30,136.25,510.0,0.3971
2023-03-17,31,175.15,520.0,0.39380000000000004
2023-03-17,32,167.7,530.0,0.39270000000000005
2023-03-17,33,162.12,540.0,0.3901
2023-03-17,34,151.55,550.0,0.3845
2023-03-17,35,149.99,560.0,0.38280000000000003
2023-03-17,36,148.0,570.0,0.3811
2023-03-17,37,137.8,580.0,0.3788
2023-03-17,38,102.9,590.0,0.3761
2023-03-17,39,131.49,600.0,0.375
2023-03-17,40,118.37,620.0,0.37229999999999996
2023-03-17,41,97.3,640.0,0.3691
2023-03-17,42,103.58,650.0,0.36939999999999995
2023-03-17,43,96.8,660.0,0.36810000000000004
2023-03-17,44,87.32,680.0,0.3636
2023-03-17,45,85.0,700.0,0.36590000000000006
2023-03-17,46,80.05,720.0,0.36219999999999997
2023-03-17,47,65.0,740.0,0.3624
2023-03-17,48,69.51,750.0,0.3615
2023-03-17,49,66.66,760.0,0.3611
2023-03-17,50,60.7,780.0,0.3617
2023-03-17,51,54.0,800.0,0.3603
2023-03-17,52,35.35,820.0,0.359
2023-03-17,53,30.95,850.0,0.361
2023-03-17,54,36.78,900.0,0.3619
2024-01-19,0,447.27,200.0,0.6224000000000001
2024-01-19,1,332.5,270.0,0.4972
2024-01-19,2,373.79,280.0,0.5224
2024-01-19,3,330.15,290.0,0.5109
2024-01-19,4,332.0,300.0,0.4739
2024-01-19,5,343.3,320.0,0.4598
2024-01-19,6,321.72,340.0,0.44799999999999995
2024-01-19,7,283.0,350.0,0.4911
2024-01-19,8,300.1,360.0,0.43439999999999995
2024-01-19,9,298.58,370.0,0.4288
2024-01-19,10,290.78,380.0,0.4715
2024-01-19,11,239.88,390.0,0.4229
2024-01-19,12,273.24,400.0,0.4167
2024-01-19,13,229.5,410.0,0.41240000000000004
2024-01-19,14,215.52,420.0,0.4077
2024-01-19,15,205.89,440.0,0.4039
2024-01-19,16,212.45,450.0,0.4003
2024-01-19,17,194.62,470.0,0.39399999999999996
2024-01-19,18,193.5,480.0,0.39130000000000004
2024-01-19,19,205.0,500.0,0.3865
2024-01-19,20,192.16,520.0,0.382
2024-01-19,21,153.87,540.0,0.3774
2024-01-19,22,154.04,550.0,0.37520000000000003
2024-01-19,23,149.76,560.0,0.3739
2024-01-19,24,144.48,570.0,0.37229999999999996
2024-01-19,25,153.94,580.0,0.37
2024-01-19,26,155.71,590.0,0.36840000000000006
2024-01-19,27,155.48,600.0,0.3676
2024-01-19,28,128.89,610.0,0.3655
2024-01-19,29,145.5,620.0,0.3861
2024-01-19,30,141.99,630.0,0.3629
2024-01-19,31,134.05,640.0,0.3629
2024-01-19,32,125.75,650.0,0.3608
2024-01-19,33,126.17,660.0,0.3811
2024-01-19,34,121.75,670.0,0.3603
2024-01-19,35,116.14,680.0,0.38020000000000004
2024-01-19,36,89.45,690.0,0.35840000000000005
2024-01-19,37,112.7,700.0,0.364
2024-01-19,38,106.36,710.0,0.37439999999999996
2024-01-19,39,102.96,720.0,0.3739
2024-01-19,40,98.3,730.0,0.3555
2024-01-19,41,81.65,740.0,0.35409999999999997
2024-01-19,42,91.72,750.0,0.37170000000000003
2024-01-19,43,68.8,760.0,0.3544
2024-01-19,44,85.45,770.0,0.35340000000000005
2024-01-19,45,74.99,780.0,0.35359999999999997
2024-01-19,46,84.0,790.0,0.3691
2024-01-19,47,84.27,800.0,0.3521
2024-01-19,48,62.5,850.0,0.3529
2024-01-19,49,65.82,860.0,0.3514
2024-01-19,50,52.0,900.0,0.3529
2024-01-19,51,53.06,920.0,0.3669
2024-01-19,52,40.93,950.0,0.35
2024-01-19,53,41.5,1000.0,0.35159999999999997
2024-01-19,54,35.1,1050.0,0.35200000000000004
